benchmark,scope,task,disease,inference_key,inference_label,source_inference_name,embedding_inference_name,readout_key,readout_label,base_model_key,model_type,embedding_source,dataset_mode,gene_universe,cell_embedding_file,cell_representation,selected_output_model_key,selection_metric,validation_auprc,lr,weight_decay,batch_size,epochs,patience,seed,n_folds,n_cv_folds,test_fold,num_heads,att_hidden_dim,dropout,att_dropout,classifier_type,use_class_weights,pdl_pmax,pdl_proj_mode,pdl_proj_layers,source_pdl_impl_tag
corum,aggregate,corum,,lr_esm,ESM2,PINNACLE_model_globalsplit_ESM2_symmetric_PPI-True_GATv2_H64_lambda001_drop02_out32__ep150_bulk,PINNACLE_model_globalsplit_ESM2_symmetric_PPI-True_GATv2_H64_lambda001_drop02_out32__ep150_bulk,lr_esm,Linear probe; ESM2 sequence,lr_ext_embed,linear,esm,bulk,bulk_shared,,not_used_sequence_only,lr_ext_embed__hp_lr0p0001_wd0p0001_selauprc_cw1__emb_esm,val_auprc_macro_mean,0.3614135359395931,0.0001,0.0001,512,300,50,42,6,5,0,,,,,linear,True,,,,
corum,aggregate,corum,,lr_prostt5,ProstT5,s2gae_att_k1_fixed_do04,s2gae_att_k1_fixed_do04_uni5e6,lr_prostt5,Linear probe; ProstT5 sequence,lr_ext_embed,linear,prostt5,bulk,bulk_shared,,not_used_sequence_only,lr_ext_embed__hp_lr0p0001_wd0p0001_selauprc_cw1__emb_prostt5,val_auprc_macro_mean,0.3377203577126558,0.0001,0.0001,512,300,50,42,6,5,0,,,,,linear,True,,,,
corum,aggregate,corum,,s2gae_bce_uni,ProtScape,s2gae_att_k1_fixed_do04_uni5e6,s2gae_att_k1_fixed_do04_uni5e6,lr_hc_cell,Mean-pool LR; contextual instances,lr_hc_cell,linear,esm,bulk,bulk_shared,cell_embeddings.pt,canonical_contextualized,lr_hc_cell__hp_lr0p0001_wd0p0001_selauprc_cw1__emb_esm,val_auprc_macro_mean,0.6579558529939711,0.0001,0.0001,512,300,50,42,6,5,0,,,,,linear,True,,,,
corum,aggregate,corum,,s2gae_bce_uni,ProtScape,s2gae_att_k1_fixed_do04_uni5e6,s2gae_att_k1_fixed_do04_uni5e6,lr_hc_cell_esm,Mean-pool LR; contextual instances + ESM2,lr_hc_cell_ext_embed,linear,esm,bulk,bulk_shared,cell_embeddings.pt,canonical_contextualized,lr_hc_cell_ext_embed__hp_lr0p0001_wd0p0001_selauprc_cw1__emb_esm,val_auprc_macro_mean,0.5817532386579832,0.0001,0.0001,512,300,50,42,6,5,0,,,,,linear,True,,,,
corum,aggregate,corum,,s2gae_bce_uni,ProtScape,s2gae_att_k1_fixed_do04_uni5e6,s2gae_att_k1_fixed_do04_uni5e6,abmil8_hc_cell,ABMIL; contextual instances,abmil_hc_cell_gated_8,abmil,esm,bulk,bulk_shared,cell_embeddings.pt,canonical_contextualized,abmil_hc_cell_gated_8__hp_lr0p0001_att256_do0p4_wd0p0001_selauprc_cw1__emb_esm,val_auprc_macro_mean,0.7187313244006858,0.0001,0.0001,512,300,50,42,6,5,0,8.0,256.0,0.4,0.0,linear,True,,,,
corum,aggregate,corum,,s2gae_bce_uni,ProtScape,s2gae_att_k1_fixed_do04_uni5e6,s2gae_att_k1_fixed_do04_uni5e6,abmil8,ABMIL; contextual instances + ESM2,abmil_hc_cell_ext_embed_gated_8,abmil,esm,bulk,bulk_shared,cell_embeddings.pt,canonical_contextualized,abmil_hc_cell_ext_embed_gated_8__hp_lr0p0001_att256_do0p4_wd0p0001_selauprc_cw1__emb_esm,val_auprc_macro_mean,0.7006733443389125,0.0001,0.0001,512,300,50,42,6,5,0,8.0,256.0,0.4,0.0,linear,True,,,,
corum,aggregate,corum,,s2gae_bce_uni,ProtScape,s2gae_att_k1_fixed_do04_uni5e6,s2gae_att_k1_fixed_do04_uni5e6,abmil8_pdl_hc_cell,ABMIL-PDL; contextual instances,abmil_hc_cell_gated_8_pdl,abmil,esm,bulk,bulk_shared,cell_embeddings_before_pool.pt,pooled_before_cci,abmil_hc_cell_gated_8_pdl__hp_lr0p0001_att256_do0_pdl0p6_pdlimplnew_pdlprojidentity_pdlprojl2_wd0p0001_selauprc_cw1__emb_esm,val_auprc_macro_mean,0.7494080690957464,0.0001,0.0001,512,300,50,42,6,5,0,8.0,256.0,0.0,0.0,linear,True,0.6,identity,2.0,new
corum,aggregate,corum,,s2gae_bce_uni,ProtScape,s2gae_att_k1_fixed_do04_uni5e6,s2gae_att_k1_fixed_do04_uni5e6,abmil8_pdl_id2_dropout,ABMIL-PDL; contextual instances + ESM2,abmil_hc_cell_ext_embed_gated_8_pdl,abmil,esm,bulk,bulk_shared,cell_embeddings.pt,canonical_contextualized,abmil_hc_cell_ext_embed_gated_8_pdl__hp_lr0p0001_att256_do0_pdl0p5_pdlimplnew_pdlprojidentity_pdlprojl2_wd0p0001_selauprc_cw1__emb_esm,val_auprc_macro_mean,0.7338227091670255,0.0001,0.0001,512,300,50,42,6,5,0,8.0,256.0,0.0,0.0,linear,True,0.5,identity,2.0,new
corum,aggregate,corum,,s2gae_phuber_uni,ProtScape (pHuber),HCCTassignmentglobalsplit_ESM2symmetricPPI_attention128_s2gae_dm_mr05_dc512_dl2_do00_MG_bulk__lr001_ep300_phubertau100_ACM_RandomWalkconcat_H512L3_dropout04_regCTassignment1_unil000005_unit20_unid0,HCCTassignmentglobalsplit_ESM2symmetricPPI_attention128_s2gae_dm_mr05_dc512_dl2_do00_MG_bulk__lr001_ep300_phubertau100_ACM_RandomWalkconcat_H512L3_dropout04_regCTassignment1_unil000005_unit20_unid0,lr_hc_cell,Mean-pool LR; contextual instances,lr_hc_cell,linear,esm,bulk,bulk_shared,cell_embeddings_before_pool.pt,pooled_before_cci,lr_hc_cell__hp_lr0p0001_wd0p0001_selauprc_cw1__emb_esm,val_auprc_macro_mean,0.6787664474460161,0.0001,0.0001,512,300,50,42,6,5,0,,,,,linear,True,,,,
corum,aggregate,corum,,s2gae_phuber_uni,ProtScape (pHuber),HCCTassignmentglobalsplit_ESM2symmetricPPI_attention128_s2gae_dm_mr05_dc512_dl2_do00_MG_bulk__lr001_ep300_phubertau100_ACM_RandomWalkconcat_H512L3_dropout04_regCTassignment1_unil000005_unit20_unid0,HCCTassignmentglobalsplit_ESM2symmetricPPI_attention128_s2gae_dm_mr05_dc512_dl2_do00_MG_bulk__lr001_ep300_phubertau100_ACM_RandomWalkconcat_H512L3_dropout04_regCTassignment1_unil000005_unit20_unid0,lr_hc_cell_esm,Mean-pool LR; contextual instances + ESM2,lr_hc_cell_ext_embed,linear,esm,bulk,bulk_shared,cell_embeddings_before_pool.pt,pooled_before_cci,lr_hc_cell_ext_embed__hp_lr0p0001_wd0p0001_selauprc_cw1__emb_esm,val_auprc_macro_mean,0.5737947301112636,0.0001,0.0001,512,300,50,42,6,5,0,,,,,linear,True,,,,
