benchmark,scope,task,disease,inference_key,inference_label,source_inference_name,embedding_inference_name,readout_key,readout_label,base_model_key,model_type,embedding_source,dataset_mode,gene_universe,cell_embedding_file,cell_representation,selected_output_model_key,selection_metric,validation_auprc,lr,weight_decay,batch_size,epochs,patience,seed,n_folds,n_cv_folds,test_fold,num_heads,att_hidden_dim,dropout,att_dropout,classifier_type,use_class_weights,pdl_pmax,pdl_proj_mode,pdl_proj_layers,source_pdl_impl_tag
therapeutic_target,held_out,therapeutic_target_efo_0003767,Inflammatory bowel disease,lr_esm,ESM2,PINNACLE_model_globalsplit_ESM2_symmetric_PPI-True_GATv2_H64_lambda001_drop02_out32__ep150_bulk,PINNACLE_model_globalsplit_ESM2_symmetric_PPI-True_GATv2_H64_lambda001_drop02_out32__ep150_bulk,lr_esm,Linear probe ESM2 sequence,lr_ext_embed,linear,esm,bulk,bulk_shared,,not_used_sequence_only,lr_ext_embed__hp_lr0p0001_wd0p0001_selauprc_cw1__emb_esm,val_auprc_macro_mean,0.5116212266423121,0.0001,0.0001,512,300,50,42,6,5,0,,,,,linear,True,,,,
therapeutic_target,held_out,therapeutic_target_efo_0003767,Inflammatory bowel disease,lr_prostt5,ProstT5,PINNACLE_model_globalsplit_ESM2_symmetric_PPI-True_GATv2_H64_lambda001_drop02_out32__ep150_bulk,PINNACLE_model_globalsplit_ESM2_symmetric_PPI-True_GATv2_H64_lambda001_drop02_out32__ep150_bulk,lr_prostt5,Linear probe ProstT5 sequence,lr_ext_embed,linear,prostt5,bulk,bulk_shared,,not_used_sequence_only,lr_ext_embed__hp_lr0p0001_wd0p0001_selauprc_cw1__emb_prostt5,val_auprc_macro_mean,0.4260970534088411,0.0001,0.0001,512,300,50,42,6,5,0,,,,,linear,True,,,,
therapeutic_target,held_out,therapeutic_target_efo_0003767,Inflammatory bowel disease,pinnacle_random_fixed,Pinnacle,PINNACLE_model_globalsplit_random_symmetric_PPI-True_GATv2_H64_lambda001_drop02_out32__ep150_bulk,PINNACLE_model_globalsplit_random_symmetric_PPI-True_GATv2_H64_lambda001_drop02_out32__ep150_bulk,lr_hc_cell,Mean-pool LR Contextual instances,lr_hc_cell,linear,esm,bulk,bulk_shared,cell_embeddings.pt,canonical_contextualized,lr_hc_cell__hp_lr0p0001_wd0p0001_selauprc_cw1__emb_esm,val_auprc_macro_mean,0.1896217243315162,0.0001,0.0001,512,300,50,42,6,5,0,,,,,linear,True,,,,
therapeutic_target,held_out,therapeutic_target_efo_0003767,Inflammatory bowel disease,pinnacle_random_fixed,Pinnacle,PINNACLE_model_globalsplit_random_symmetric_PPI-True_GATv2_H64_lambda001_drop02_out32__ep150_bulk,PINNACLE_model_globalsplit_random_symmetric_PPI-True_GATv2_H64_lambda001_drop02_out32__ep150_bulk,lr_hc_cell_esm,Mean-pool LR Contextual + ESM2,lr_hc_cell_ext_embed,linear,esm,bulk,bulk_shared,cell_embeddings.pt,canonical_contextualized,lr_hc_cell_ext_embed__hp_lr0p0001_wd0p0001_selauprc_cw1__emb_esm,val_auprc_macro_mean,0.5158300462795745,0.0001,0.0001,512,300,50,42,6,5,0,,,,,linear,True,,,,
therapeutic_target,held_out,therapeutic_target_efo_0003767,Inflammatory bowel disease,pinnacle_random_fixed,Pinnacle,PINNACLE_model_globalsplit_random_symmetric_PPI-True_GATv2_H64_lambda001_drop02_out32__ep150_bulk,PINNACLE_model_globalsplit_random_symmetric_PPI-True_GATv2_H64_lambda001_drop02_out32__ep150_bulk,abmil8_hc_cell,ABMIL Contextual instances,abmil_hc_cell_gated_8,abmil,esm,bulk,bulk_shared,cell_embeddings.pt,canonical_contextualized,abmil_hc_cell_gated_8__hp_lr0p0001_att256_do0p2_wd0p0001_selauprc_cw1__emb_esm,val_auprc_macro_mean,0.2110676612133738,0.0001,0.0001,512,300,50,42,6,5,0,8.0,256.0,0.2,0.0,linear,True,,,,
therapeutic_target,held_out,therapeutic_target_efo_0003767,Inflammatory bowel disease,pinnacle_random_fixed,Pinnacle,PINNACLE_model_globalsplit_random_symmetric_PPI-True_GATv2_H64_lambda001_drop02_out32__ep150_bulk,PINNACLE_model_globalsplit_random_symmetric_PPI-True_GATv2_H64_lambda001_drop02_out32__ep150_bulk,abmil8,ABMIL Contextual + ESM2,abmil_hc_cell_ext_embed_gated_8,abmil,esm,bulk,bulk_shared,cell_embeddings.pt,canonical_contextualized,abmil_hc_cell_ext_embed_gated_8__hp_lr0p0001_att256_do0p4_wd0p0001_selauprc_cw1__emb_esm,val_auprc_macro_mean,0.484947497355729,0.0001,0.0001,512,300,50,42,6,5,0,8.0,256.0,0.4,0.0,linear,True,,,,
therapeutic_target,held_out,therapeutic_target_efo_0003767,Inflammatory bowel disease,pinnacle_random_fixed,Pinnacle,PINNACLE_model_globalsplit_random_symmetric_PPI-True_GATv2_H64_lambda001_drop02_out32__ep150_bulk,PINNACLE_model_globalsplit_random_symmetric_PPI-True_GATv2_H64_lambda001_drop02_out32__ep150_bulk,abmil8_pdl_hc_cell,ABMIL-PDL Contextual instances,abmil_hc_cell_gated_8_pdl,abmil,esm,bulk,bulk_shared,cell_embeddings.pt,canonical_contextualized,abmil_hc_cell_gated_8_pdl__hp_lr0p0001_att256_do0_pdl0p6_pdlimplnew_pdlprojidentity_pdlprojl2_wd0p0001_selauprc_cw1__emb_esm,val_auprc_macro_mean,0.2409949188077082,0.0001,0.0001,512,300,50,42,6,5,0,8.0,256.0,0.0,0.0,linear,True,0.6,identity,2.0,new
therapeutic_target,held_out,therapeutic_target_efo_0003767,Inflammatory bowel disease,pinnacle_random_fixed,Pinnacle,PINNACLE_model_globalsplit_random_symmetric_PPI-True_GATv2_H64_lambda001_drop02_out32__ep150_bulk,PINNACLE_model_globalsplit_random_symmetric_PPI-True_GATv2_H64_lambda001_drop02_out32__ep150_bulk,abmil8_pdl_id2_dropout,ABMIL-PDL Contextual + ESM2,abmil_hc_cell_ext_embed_gated_8_pdl,abmil,esm,bulk,bulk_shared,cell_embeddings.pt,canonical_contextualized,abmil_hc_cell_ext_embed_gated_8_pdl__hp_lr0p0001_att256_do0_pdl0p7_pdlimplnew_pdlprojidentity_pdlprojl2_wd0p0001_selauprc_cw1__emb_esm,val_auprc_macro_mean,0.5660851644804559,0.0001,0.0001,512,300,50,42,6,5,0,8.0,256.0,0.0,0.0,linear,True,0.7,identity,2.0,new
therapeutic_target,held_out,therapeutic_target_efo_0003767,Inflammatory bowel disease,pinnacle_esm_fixed,Pinnacle-ESM2 (GAT),PINNACLE_model_globalsplit_ESM2_symmetric_PPI-True_GATv2_H64_lambda001_drop02_out32__ep150_bulk,PINNACLE_model_globalsplit_ESM2_symmetric_PPI-True_GATv2_H64_lambda001_drop02_out32__ep150_bulk,lr_hc_cell,Mean-pool LR Contextual instances,lr_hc_cell,linear,esm,bulk,bulk_shared,cell_embeddings.pt,canonical_contextualized,lr_hc_cell__hp_lr0p0001_wd0p0001_selauprc_cw1__emb_esm,val_auprc_macro_mean,0.1883173881495459,0.0001,0.0001,512,300,50,42,6,5,0,,,,,linear,True,,,,
therapeutic_target,held_out,therapeutic_target_efo_0003767,Inflammatory bowel disease,pinnacle_esm_fixed,Pinnacle-ESM2 (GAT),PINNACLE_model_globalsplit_ESM2_symmetric_PPI-True_GATv2_H64_lambda001_drop02_out32__ep150_bulk,PINNACLE_model_globalsplit_ESM2_symmetric_PPI-True_GATv2_H64_lambda001_drop02_out32__ep150_bulk,lr_hc_cell_esm,Mean-pool LR Contextual + ESM2,lr_hc_cell_ext_embed,linear,esm,bulk,bulk_shared,cell_embeddings.pt,canonical_contextualized,lr_hc_cell_ext_embed__hp_lr0p0001_wd0p0001_selauprc_cw1__emb_esm,val_auprc_macro_mean,0.5211696709506891,0.0001,0.0001,512,300,50,42,6,5,0,,,,,linear,True,,,,
